firstName,lastName,email,name,gender,year,fatherName,motherName,department,batch,contactNumber,fatherContactNumber,dob,section
Aniket,Verma,AniketVerma@yopmail.com,Aniket Verma,male,1,Advait Patel,Sanika Kapoor,CSE,2021-2025,9867127621,7652123456,10-06-02,1
Siddharth,Joshi,SiddharthJoshi@yopmail.com,Siddharth Joshi,male,1,Vedant Joshi,Priya Patel,CSE,2021-2025,9876543210,7862137867,27-05-07,1
Yash,Nair,YashNair@yopmail.com,Yash Nair,male,1,Reyansh Gupta,Naina Kapoor,CSE,2020-2024,7213782188,5432156789,16-11-05,1
Adarsh,Bhatia,AdarshBhatia@yopmail.com,Adarsh Bhatia,male,1,Pratham Chauhan,Ishita Khanna,CSE,2020-2024,7612378617,6543414567,15-09-06,1
Parth,Nair,ParthNair@yopmail.com,Parth Nair,other,1,Devendra Singh,Naina Kapoor,CSE,2021-2025,6723712778,4321098765,19-03-08,1
Rohan,Gupta,RohanGupta@yopmail.com,Rohan Gupta,male,1,Ishaan Reddy,Priya Patel,CSE,2021-2025,7612378617,8761234567,23-11-06,1
Aniket,Malhotra,AniketMalhotra@yopmail.com,Aniket Malhotra,other,1,Kabir Saxena,Anika Bhatia,CSE,2021-2025,9867127621,7862137867,28-04-04,1
Yash,Mehra,YashMehra@yopmail.com,Yash Mehra,other,1,Advay Bhat,Kiara Bansal,CSE,2021-2025,5432109876,6543414567,07-05-00,1
Vikram,Reddy,VikramReddy@yopmail.com,Vikram Reddy,male,1,Reyansh Gupta,Aisha Sharma,CSE,2021-2025,8765432109,7862137896,01-02-02,1
Adarsh,Kumar,AdarshKumar@yopmail.com,Adarsh Kumar,other,1,Arya Mehta,Avani Joshi,CSE,2021-2025,7213782188,2173878188,29-10-09,1
Rohan,Kapoor,RohanKapoor@yopmail.com,Rohan Kapoor,other,1,Arnav Desai,Kiara Bansal,CSE,2021-2025,7612378617,5432156789,31-12-09,1
Aniket,Mehra,AniketMehra@yopmail.com,Aniket Mehra,male,1,Pratham Chauhan,Riyaan Desai,CSE,2020-2024,7612378617,2173878188,13-08-03,1
Akash,Singhania,AkashSinghania@yopmail.com,Akash Singhania,other,1,Kabir Saxena,Riya Verma,CSE,2021-2025,6543210987,2173878188,21-01-05,1
Rajat,Kumar,RajatKumar@yopmail.com,Rajat Kumar,other,1,Rishi Malhotra,Sanika Kapoor,CSE,2021-2025,7612378617,5432156789,01-08-09,1
Rajat,Malhotra,RajatMalhotra@yopmail.com,Rajat Malhotra,male,1,Advay Bhat,Aaradhya Nair,CSE,2021-2025,6723712778,7652123456,17-04-06,1
Aniket,Verma,AniketVerma@yopmail.com,Aniket Verma,other,1,Ishaan Reddy,Zara Malhotra,CSE,2020-2024,9876543210,6543414567,03-05-05,1
Pranav,Choudhary,PranavChoudhary@yopmail.com,Pranav Choudhary,other,1,Arnav Desai,Aaradhya Nair,CSE,2020-2024,8765432109,7862137896,20-07-02,1
Adarsh,Kumar,AdarshKumar@yopmail.com,Adarsh Kumar,other,1,Arnav Desai,Anika Bhatia,CSE,2021-2025,9867127621,5432156789,09-05-08,1
Neeraj,Choudhary,NeerajChoudhary@yopmail.com,Neeraj Choudhary,other,1,Advay Bhat,Sanika Kapoor,CSE,2021-2025,5432109876,2173878188,20-02-09,1
Adarsh,Kapoor,AdarshKapoor@yopmail.com,Adarsh Kapoor,other,1,Kabir Saxena,Avani Joshi,CSE,2021-2025,8765432109,2173878188,04-05-07,1
Akash,Kapoor,AkashKapoor@yopmail.com,Akash Kapoor,other,1,Vivaan Thakur,Tanvi Choudhary,CSE,2021-2025,7612378617,5432156789,28-01-02,1
Karan,Kumar,KaranKumar@yopmail.com,Karan Kumar,other,1,Reyansh Gupta,Anika Bhatia,CSE,2020-2024,7654321098,8761234567,16-11-09,1
Arjun,Reddy,ArjunReddy@yopmail.com,Arjun Reddy,other,1,Rishi Malhotra,Ishani Thakur,CSE,2021-2025,6543210987,7126371277,23-09-03,1
Shubham,Patel,ShubhamPatel@yopmail.com,Shubham Patel,male,1,Devendra Singh,Priya Patel,CSE,2021-2025,9867127621,2173878188,23-10-02,1
